"dbref","name","full_name","alias","sex","race","homeworld","affiliation","organization","occupation","business","background","lastconnected","im","email","url","away","status","quote","note"
"108","Uutkit","Uutkit","Uut","Male","Jawa","","Unaffiliated","Independent","Trader","","Desert Dweller","Mon Apr 15 11:26:53 2024","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"140","Ridge","Ridge Archilles","**NONE**","Male","Human","","New Republic","Republic Military","**NONE**","","**NONE**","Wed Nov 12 14:02:45 2008","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"164","EU_OOC","**NONE**","DIck","Neuter","**NONE**","","**NONE**","**NONE**","OOC Ruler","","**NONE**","Mon Jan 19 20:25:51 2004","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"165","Kamina","Kamina Tulis","**NONE**","Female","Twi'lek","Coruscant","Unaffiliated","Independent","Smuggler","","**NONE**","Sun Jun 21 08:58:04 2015","**NONE**","**NONE**","**NONE**","","","","think +commands (wiz inherit) just fingered you."
"189","Dhamon","Dhamon Logan Rand","**NONE**","male","Human","Eriadu","New Republic","Republic Military","**NONE**","","**NONE**","Tue Oct 27 19:21:29 2009","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"199","Feri","Feri Nimm","FN","Female","Chadra-Fan","","Imperial","CSA","**NONE**","","**NONE**","Sun Aug 20 19:59:24 2017","**NONE**","**NONE**","**NONE**","","",""," Actor: Linda Cropper"
"205","BC_Ithor","**NONE**","ithor","**NONE**","**NONE**","","Unaffiliated","Independent","**NONE**","","**NONE**","Thu Mar 18 15:13:02 2004","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"231","Chakuro","Chakuro","Ch","Male","Unknown","","Unaffiliated","Independent","**NONE**","","Not worth noticing.","Sun Aug 20 18:17:17 2017","**NONE**","**NONE**","**NONE**","","","","        The reason Chakuro will never learn to fly a ship:
        http://apod.nasa.gov/apod/ap120418.html

 Actor: Zachary Quinto"
"235","JONATHAN","**NONE**","Jon","Male","Warlock","New Jersey","Management","**NONE**","Wizard without Portfolio","","**NONE**","Mon Oct 01 19:39:06 2018","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"239","BC_O'Paal","O'Paul Planetarian","bco","Maybe I'm Male, Maybe I'm Female..who knows","**NONE**","","Imperial","**NONE**","Builder","","**NONE**","Sat May 02 00:41:25 2020","**NONE**","**NONE**","**NONE**","I'm gone...@mail me","","","Meet me at Pat O'Brian's in New Orleans"
"240","Raya","Sluissia Slassasl","lynna","Female","Sluissi","","Unaffiliated","Independent","Indigent","","Space Refuse.","Sun Mar 07 07:53:47 2021","**NONE**","**NONE**","**NONE**","","","","Dirty little beggar."
"242","Morrlim","**NONE**","**NONE**","male","Wookiee","","Unaffiliated","Independent","**NONE**","","**NONE**","Sat Dec 18 13:30:10 2010","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"256","LotsWiz","Pymari, Tirus, etc.","Tirus","**NONE**","Demon","","Management","**NONE**","**NONE**","","Long. Started here January 1993. Other details as requested...maybe.","Sat Nov 16 06:03:29 2024","**NONE**","[redacted-email]","**NONE**","","","","General purpose wiz character object."
"262","EU_NR","**NONE**","NR","Nope, too busy building.","**NONE**","","New Republic","**NONE**","Builder","Construction","**NONE**","Thu Aug 07 16:25:58 2014","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"270","BC_GPS","**NONE**","GPS","Male","**NONE**","","Unaffiliated","Independent","**NONE**","","**NONE**","Thu Jun 02 21:09:30 2005","**NONE**","**NONE**","**NONE**","","","","Grandio Publika Shaj'ujiminmee"
"286","Rixt","Its long, Rixt is easy.","**NONE**","Male","Ithorian","Ithor","Unaffiliated","Independent","None at present","Opportunistic Entrepreneur","Travelling, indepenent, Ithorian","Mon Jul 13 06:52:31 2015","**NONE**","@mail me","[redacted]","","","","More to come."
"291","BC_Caspar","","caspar","Robot","**NONE**","","Unaffiliated","Caspar","**NONE**","","**NONE**","Sun Nov 09 11:12:44 2025","**NONE**","","**NONE**","Best to @mail Tracer","","","**NONE**"
"296","BC_Bespin","Builder_Character_Bespin","Bespin","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Apr 04 18:07:38 2023","**NONE**","[redacted-email]","**NONE**","","","","=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-
                            < Now managed by FTI >                            

=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-"
"300","EU_Empire","Economic Unit - Empire","EUE","Neuter","**NONE**","","Imperial","**NONE**","Building chaos","Imperial Master BC","**NONE**","Fri May 01 11:50:39 2020","**NONE**","**NONE**","**NONE**","@mail me....I'm not here right now","","",""
"311","BC_Athaniss","Athaniss","Athaniss","Male","Human","","Imperial","**NONE**","Builder of Athaniss","","Builder Character for Athaniss","Tue Oct 29 03:00:23 2024","**NONE**","**NONE**","**NONE**","Please @mail me, since I am gone.","","","**NONE**"
"314","Korhe","Korhe Tsahdarr","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Jun 01 17:10:20 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"315","BC_Dreven","**NONE**","bcd","Uh...","**NONE**","","**NONE**","**NONE**","The Emperor's builder","","**NONE**","Sun Aug 24 01:11:03 2025","**NONE**","[redacted-email]","**NONE**","I'm gone...@mail me","","","**NONE**"
"338","Imra","**NONE**","Im","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Aug 31 22:25:03 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"340","Venus","Venus.....","V","female","Human","Oderus's Pad","Unknown","Independent","Which one?","","Old. Really, really old.","Tue Apr 10 12:15:49 2018","**NONE**","[redacted-email]","**NONE**","Yawa","","","Limited time online, unfortunately. Please @mail. :)
--------------------------------< Awards: 1 >---------------------------------
        * Legend Status: awarded March 1999"
"342","gant","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Aug 25 22:48:05 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"343","Ashen-Shugar","**NONE**","ashen","mammel","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Nov 01 18:30:03 2016","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"373","Killingdude","Sadon Krytal","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun Aug 16 05:55:53 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"378","Ta'Keshi","Ta'Keshi Sumnata","Tak","Female","Shistavanen","Uvena Prime","Unaffiliated","Independent","Mischief","","Wouldn't you like to know? ;) RP with me and find out...","Sat Sep 06 20:25:45 2008","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"392","Sadharma","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Oct 01 12:00:14 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"397","Traghe","Traghe Renada","**NONE**","Male","Human","","New Republic","**NONE**","**NONE**","","**NONE**","Fri Apr 09 19:45:05 2010","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"418","Valerius","Auxin Valerius","Val","male","Human","","Imperial","Independent","CO, I2SD Inquisitor","","**NONE**","Mon Mar 26 16:36:06 2012","[redacted]","[redacted-email]","**NONE**","","","","**NONE**"
"429","BC_Kichnar","Big & Cute_Kichnar","BCKOS","neuter","**NONE**","","Unaffiliated","Caspar","Builder","","**NONE**","Tue Jun 24 15:22:03 2025","**NONE**","**NONE**","**NONE**","Just @mail me, I'll get it.","","","**NONE**"
"430","Sita","**NONE**","**NONE**","female","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Jul 08 20:23:55 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"439","Ullan","Ullan Kizuka-Jones","ull","Male","Shistavanen","--Classified--","Unaffiliated","Caspar","Chief engineer/Heir of Aeschylus","","**NONE**","Tue Jun 09 17:12:40 2009","**NONE**","**NONE**","**NONE**","","","","In SW1, the animated movie, voice acting for Ullan would be done by a young R.J. Williams"
"446","BC_ETTI","Builder Character - Corporate Sector Authority","Etti","male","**NONE**","","Unaffiliated","CSA","Building","","Construction...Lots.","Fri Jan 15 22:11:05 2016","**NONE**","**NONE**","**NONE**","No one's here, leave @mail.","","","0 unread @mail"
"450","Sub_EU_CSA","Corporate Sector Authority","csa","Everyone","**NONE**","","Unaffiliated","CSA","Economic Unit","Making money work!","Help yourself to background files:
        +BG CSA 1       Current CSA Contacts
        +BG CSA 2       Complete Business Directory by Area of Speciality
        +BG CSA 2.5     Complete Business Directory by Company Name","Thu Jun 14 13:31:31 2007","**NONE**","**NONE**","[redacted]","","","","If you are a new player and are interested in joining the CSA, please contact a CSA recruiter to accept you to join.(LIST RECRUITERS from the Corporate Sector Authority Info Room)

If you are an Independent and are interested in joining the CSA, please contact the OrgHead or Assistant OrgHead.(+BG CSA 1)

                     JOIN THE CSA - GET A SIGNING BONUS!"
"463","Mira","Mira Isaria","mir","Female","Human","Corellia","New Republic","Caspar","**NONE**","","Victim of a horrible conspiracy","Wed Nov 28 22:45:18 2012","**NONE**","**NONE**","**NONE**","","","","Young, is a twi'lek who wants to be a jedi. He is always in a fighting stance and when he has time and he always has time he dose training to be a jedi. He is smart, and cares and will help the good, and fight and kill the evil. He uses his powers and skills to help himself and others who needs it. He was born and raised being good. he has good maners and will fight people if they attack him. Will defend people if they will trust that he will save them. Wants to protect the galaxy from the EVIL people. Traveld to many planets in the GALAXY and rescued people from evil people. Saved a JEDI from getting killed by a DARK JEDI. Choose the path of good for a good reason and it was to help others when they need it. Will never choose the way of EVIL. Favorite weapon is a LIGHTSABER and likes blasters if he cant use a LIGHTSABER. Favorite thing to do is to save people and drive in space crafts. He will always help no matter what."
"465","devron","Devron Lobo","**NONE**","male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Apr 14 23:50:16 2010","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"481","Samija","Samija Elt","Sami","Female","Human","","**NONE**","**NONE**","**NONE**","","**NONE**","Thu Jul 23 08:20:44 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"482","Melchior","Melchior Relius","**NONE**","Male","Near Human","","Unaffiliated","Independent","**NONE**","","**NONE**","Tue Nov 18 21:29:46 2008","**NONE**","[redacted-email]","**NONE**","","",""," <<About Melchior>> Melchior is a laid back type. A bit arrogant and prideful. He prefers to pilot older, modified, types of starfighters. Believes life is a big ordeal of pain and suffering. And has no problem giving others a piece of his hell. He loves sunsets, long walks on the beach and a good maiming.
<<Character Theme>> Metallica: Unforgiven II
<<Fighting Theme>> % DMC4: Shall Never Surrender
<<Opinion On Life>> Metallica: No Leaf Clover
<<Memorable Quotes>>
 ""Fool me once, shame on you. Fool me twice, shame on me. Fool me three times and all bets are off.""
 ""Alright, I'll get a drink and off to bed. Dogfights are fun.""
 ""It hurts only when I laugh..."" *BANG*"
"494","Ilo-May","Ilo-May","Ilo","M","Ithorian","","Unaffiliated","CSA","**NONE**","","**NONE**","Sat Oct 03 08:49:31 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"499","Kyranos","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Aug 11 18:24:40 2021","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"514","Zika","Zika Vox","**NONE**","Female","Near Human","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Jul 18 15:44:50 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"517","Arvid","Arvid Scraff","**NONE**","Male","Human","","New Republic","Independent","**NONE**","","**NONE**","Mon May 25 22:40:42 2015","**NONE**","**NONE**","**NONE**","","","","Who said Business isn't a soldiers job, ever hear of a 'Hostile Take Over?'"
"522","BC_Admin","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed Apr 17 21:21:16 2002","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"529","Maltorus","Maltorus Valen","**NONE**","Male","Human","","Imperial","Imperial Military","**NONE**","","**NONE**","Tue Sep 01 11:20:05 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"546","BC_Ord_Trasi","Ord Trasi","ordtrasi","**NONE**","**NONE**","","**NONE**","**NONE**","Builder","","See that small planet down there...","Mon Feb 23 22:23:50 2004","**NONE**","**NONE**","**NONE**","I'm not really away, I'm just not going to reply.","","","**NONE**"
"547","BC_Selene","**NONE**","bcs","**NONE**","**NONE**","","**NONE**","**NONE**","Builder","","**NONE**","Fri Jun 13 15:28:37 2025","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"548","BC_Mutanda","Mutanda","Mutanda","Male","Human","","Imperial","CSA","**NONE**","","**NONE**","Tue Jun 07 20:37:03 2005","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"557","BC_Kashyyyk","Kashyyyk BC","Kash","Female","Wookiee","Kashyyyk","New Republic","**NONE**","RUNNING A DAMN PLANET","","**NONE**","Tue Apr 01 15:42:18 2008","**NONE**","**NONE**","**NONE**","I'm away, probably sleeping! Overworked by that one Wookiee who shall remain nameless!","","","Contact Corey for Kasyyyk related stuff."
"567","Radke","Radke Dejesa","Doc","Female","Human","","Unaffiliated","Independent","Doctor","","**NONE**","Thu Jan 19 15:53:27 2006","**NONE**","**NONE**","**NONE**","","","","All RP with Radke is logged. If this is a problem, please let me know.

        http://img.photobucket.com/albums/v241/Erenor/Radke02.jpg - A drawing of Radke done by a fellow SW1 player
--------------------------------< Awards: 1 >---------------------------------
        * Legend Status: awarded November 2005"
"573","Avy","Avalyshaar J. Laarken","Avalyshaar","female","Sarian","","Unaffiliated","Caspar","amature botanist, former president of the Caspian system","","swinfo leg Avalyshaar","Thu Oct 22 20:17:54 2009","**NONE**","[redacted-email]","[redacted]","Busy becoming an aggressively sensitive, wildly disciplined, lyrically logical, ironically sincere, insanely poised, lustfully compassionate master of rowdy bliss.","","","In SWM:The Movie, Avy would be played by Julianne Moore.

-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-
          I have 0 @mails, 1 unread. I have been fingered 1 times today.         
                     I have been here for 29y 196d  7h 33m 20s
                          Which is 10781d  7h 33m 20s.                          
 -=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-=*=-
--------------------------------< Awards: 1 >---------------------------------
        * Legend Status: awarded December 1999"
"592","Mark_Steele","Mark Steele","Mark","Male","Human","Engira","New Republic","Republic Military","Commanding General - NR Starfighter Operations : Retired","","Mean... nasty.. but only to people under my command. Everything else is Classified OR I just won't tell you :)","Tue Jul 08 05:02:06 2025","[redacted]","[redacted-email]","[redacted]","If you are getting this, then I'm not online.","","","I've been on the game for:
32 Years, 9 Months, 17 Days, 6 Hours, 15 Minutes, 14 Seconds

In SW1 the Movie, Mark Steele would be played by James Morrison from Space: A&B

Where am I now? I'm a proud member of the Grey Ghosts. http://www.thegreyghosts.net It is an old organization actually started on here and branched out. We are gaming over on Doomhammer server in WoW, and are growing in numbers. The organization I was with, Team MAYHEM waivered in it's motto of character above skill, and since they went off their own set path, we have resumed the correct one ourselves. Drop by and say hi in teamspeak, or on the forums. It's a work in progress website, but it's coming."
"608","TestDummy","**NONE**","**NONE**","**NONE**","**NONE**","","Unaffiliated","Independent","**NONE**","","**NONE**","Sun Sep 27 09:23:11 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"625","Cardon","Cardon Jandib","**NONE**","Male","Twi'lek","","Unaffiliated","Independent","Bounty Hunter","","**NONE**","Wed Jun 26 01:05:17 2024","[redacted]","[redacted-email]","**NONE**","","","","**NONE**"
"653","Krysten","Krysten Carlyle Rheas","Krys","female","Human","","Unaffiliated","Caspar","Management","Fineline Spaceways","""I look familiar to you? Huh, I get that a lot.""","Sun Jan 04 15:44:52 2009","**NONE**","**NONE**","[redacted]","","","","        Give a person a fish and you feed them for a day; teach a person to use the Internet and they won't bother you for weeks.

Krysten would be played by Rachel Weisz"
"686","Korbel","Doril Farnsworth","Dor","Male","Human","Corellia","New Republic","Republic Military","Jedi Order","","- The current backgrounds are availible to view:
- 1","Mon Feb 04 20:14:28 2013","**NONE**","**NONE**","**NONE**","","","","10 read messages in my Mailbox.
0 unread messages in my Mailbox.
--------------------------------
10 total messages in my Mailbox.

                   Total Time on SW1: 23y 141d 11h 47m 54s                    

<SKILL> Korbel rolls a 41 for his STARSHIP GUNNERY skill. A Heroic roll!"
"695","Dillan","Dillan J. Stelves","Dill","Yes please","Human","Dantooine","New Republic","Independent","I fly stuff","","**NONE**","Mon Jun 05 14:53:53 2006","**NONE**","**NONE**","**NONE**","","","","You know...I've been starving ever since they put up the sign to not feed the monkeys...

                Been cleaning toilets for 7538d  6h 53m 35s.


Elsemu!!
<Public> Disturbing Marshall says, ""DIE SPEEDY!""
<Public> Evil Court Jester Speedy says, ""You're angry for some reason"" 
<Public> Disturbing Marshall says, ""Cuz your a giant walking speedo?""
<Public> Evil Court Jester Speedy says, ""That could make one angry""
<Public> Lord Poutine laughs,
<Public> Disturbing Marshall wears speedy.
<Public> Evil Court Jester Speedy says, ""That...is not right.""
<Public> Disturbing Marshall nods, ""Then again..I haven't showered in a week or so.""
<Public> Evil Court Jester Speedy says, ""Ewww""
<Public> Disturbing Marshall says, ""And I think I caught something from that viatnamese girl""
<Public> Lord Poutine says, ""HAHA""
<Public> Evil Court Jester Speedy says, ""That's terrible...:)""
-------------------------------------------------------------------------------
Minkar pages: YES YOU ARE SO FIRED
Minkar pages: Oh...
Minkar pages: Mispage, sorry!
Long distance to Minkar: Dillan blinks, ""Oh no I'm not sista! HAYHAYHAY!
From afar, Minkar double snaps, ""Oh no you di'int!""
Long distance to Minkar: Dillan snappity snaps, ""Oh yes I did girlfriend..so you can just.."" puts hand in face and walks away with a sway
Minkar pages: YOU TRIFLIN' HO
Long distance to Minkar: Dillan snaps around, ""On no you din'!!"" hairpulls!
From afar, Minkar scratches at your eyes!
Long distance to Minkar: Dillan pepper sprays!
Minkar pages: OW MY EYE MY EYE"
"696","Xerxes","Xerxes Kherzen","X","Male","Human","Etti IV","Unknown","CSA","Executive Viceprex","CSA Legal Division","Corporate Executive, Political Operative","Wed Jul 28 12:37:52 2010","[redacted]","[redacted-email]","[redacted]","#-1 COMMAND (PAGE) EXPECTS AT LEAST 1 CONNECTED XERXES BUT GOT 0","","","C#
 Online Schedule: Random. @mail to schedule something.
 Unread @mail msgs: 1
 Character Creation Date: Mon Nov 11 11:52:38 2002 (8625d 10h 33m 34s ago)"
"727","Oreolek","**NONE**","**NONE**","Male","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sun Sep 27 05:44:02 2015","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"749","Khil","**NONE**","**NONE**","Male","**NONE**","OldFartsville","New Republic","**NONE**","Old Fart","","**NONE**","Sun Feb 02 20:29:25 2003","**NONE**","[redacted-email]","**NONE**","","","","The one and only.."
"768","Portia","Portia Vykos","Por","Female","Human","Etti IV","New Republic","CSA","Independent Business Woman","Negotiator & Interpreter","Eldest daughter to one of Etti IV's larger corporate families, the Vykos Family, Portia Vykos did not follow in her father's footsteps of running in the government of their homeworld. Some may say she had too much business in her blood, so she struck out into the galaxy early after her 18th birthday to make her own way. With a gift for languages and a calm head for the hardest neogtiations, she now goes for a very pretty credit for assistance in your hardest deals -- be they business, pleasure or war.","Tue Apr 26 21:27:07 2016","**NONE**","[redacted-email]","[redacted]","","","","I don't get online much other than a few weeknights, but if I am here, I'm happy to RP! Most likely between the hours of 6:30 pm EST - 11:30 pm EST on any random weeknight. Also, I'm here to make YOU look good! If you want to plot, even if it's just a random side scene, simply ask! I will help you to be a bad ass hero (or villain), explore a character deeper, or do everything we can to create an awesome scene. Good roleplay takes at least two, so let's tell some epic stories together."
"770","Bael","Baelarius","B1","M","Verpine","Roche","Unaffiliated","Unknown","Starship expert","Infinity Tech","**NONE**","Sat Apr 16 21:24:42 2011","**NONE**","**NONE**","**NONE**","","","","If it's starship related, I'm your man to repair, upgrade or alter it."
"775","Vadim","Aleister Vadim","Emp","Male","Human","","Imperial","Imperial Military","Galactic Emperor","","Hailing from a distant cluster of war-torn planets, Vadim has used his incomparable intellect, diabolical spirit and personal influence to claw his way through many who would aspire to his position of true power.","Thu Aug 27 14:51:08 2020","**NONE**","**NONE**","[redacted]","","","","Yes, I'm the Ruler of Galaxy, but if you need help with anything OOC or IC (with very rare exceptions) you should contact Thel, the current faction head of the Empire. However, if you believe you need immediate help with something that requires attention, contact a member of the wiz staff to get in touch with me."
"786","velath","**NONE**","**NONE**","**NONE**","**NONE**","","Imperial","Independent","**NONE**","","**NONE**","Mon Jul 27 07:32:56 2020","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"789","bipeo","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Sat Oct 24 22:38:38 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"810","Zra'ni","Zra'ni","PSI2","Female","Verpine","","Unaffiliated","Independent","**NONE**","","**NONE**","Mon Dec 24 11:01:00 2018","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"811","Carnylla","Carnylla Distayre","Carn","Female","Human","","Unaffiliated","Independent","Mandalorian","","Undisclosed!","Sun Apr 01 00:36:03 2012","**NONE**","[redacted-email]","[redacted]","","","","Theme Song: War, by Joe Satriani (http://www.youtube.com/watch?v=aKzhq97i4pQ)
Alternately: http://www.youtube.com/watch?v=9FXrbNlX0KU
And still more: http://ca.youtube.com/watch?v=KSndn8E5FRY"
"815","Loga","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Mon Jun 29 09:05:01 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"820","BC_Systems","**NONE**","L","**NONE**","Human","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Jan 27 08:46:08 2004","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"831","BC_Tatooine","**NONE**","Tat","**NONE**","**NONE**","","**NONE**","**NONE**","Janitor of Tat, Jawa herder","","the force came and created me. It instructed me to build Tatooine. I did, and the force said, ""It is good.""","Sun May 06 07:43:42 2018","**NONE**","**NONE**","**NONE**","","","","**NONE**"
